   Time             Pg                Vg                Vr                Qg              
 1.000000000E-005  0.000000000E+000  7.887417432E+001  1.172918317E+000  0.000000000E+000 
 2.000000000E-005  1.634564844E-012  7.996682935E+001  2.345819965E+000  0.000000000E+000 
 3.000000000E-005  1.474972502E-011  8.105834788E+001  3.518688273E+000  0.000000000E+000 
 4.000000000E-005  6.903742874E-011  8.214871439E+001  4.691506573E+000  0.000000000E+000 
 5.000000000E-005  2.275719130E-010  8.323791339E+001  5.864258197E+000  0.000000000E+000 
 6.000000000E-005  6.006487422E-010  8.432592939E+001  7.036926476E+000  0.000000000E+000 
 7.000000000E-005  1.359923697E-009  8.541274693E+001  8.209494745E+000  0.000000000E+000 
 8.000000000E-005  2.752849092E-009  8.649835057E+001  9.381946338E+000  0.000000000E+000 
 9.000000000E-005  5.117405093E-009  8.758272488E+001  1.055426459E+001  0.000000000E+000 
 1.000000000E-004  8.897123583E-009  8.866585444E+001  1.172643285E+001  0.000000000E+000 
 1.100000000E-004  1.465640212E-008  8.974772386E+001  1.289843445E+001  0.000000000E+000 
 1.200000000E-004  2.309610553E-008  9.082831777E+001  1.407025273E+001  0.000000000E+000 
 1.300000000E-004  3.506945263E-008  9.190762081E+001  1.524187104E+001  0.000000000E+000 
 1.400000000E-004  5.159818558E-008  9.298561764E+001  1.641327273E+001  0.000000000E+000 
 1.500000000E-004  7.388901942E-008  9.406229294E+001  1.758444116E+001  0.000000000E+000 
 1.600000000E-004  1.033503692E-007  9.513763140E+001  1.875535967E+001  0.000000000E+000 
 1.700000000E-004  1.416093523E-007  9.621161775E+001  1.992601162E+001  0.000000000E+000 
 1.800000000E-004  1.905290629E-007  9.728423671E+001  2.109638038E+001  0.000000000E+000 
 1.900000000E-004  2.522261173E-007  9.835547305E+001  2.226644932E+001  0.000000000E+000 
 2.000000000E-004  3.290884655E-007  9.942531155E+001  2.343620180E+001  0.000000000E+000 
 2.100000000E-004  4.237934689E-007  1.004937370E+002  2.460562120E+001  0.000000000E+000 
 2.200000000E-004  5.393262393E-007  1.015607342E+002  2.577469090E+001  0.000000000E+000 
 2.300000000E-004  6.789982378E-007  1.026262880E+002  2.694339428E+001  0.000000000E+000 
 2.400000000E-004  8.464661315E-007  1.036903832E+002  2.811171474E+001  0.000000000E+000 
 2.500000000E-004  1.045750903E-006  1.047530048E+002  2.927963567E+001  0.000000000E+000 
 2.600000000E-004  1.281257215E-006  1.058141376E+002  3.044714047E+001  0.000000000E+000 
 2.700000000E-004  1.557793020E-006  1.068737666E+002  3.161421254E+001  0.000000000E+000 
 2.800000000E-004  1.880589416E-006  1.079318766E+002  3.278083532E+001  0.000000000E+000 
 2.900000000E-004  2.255320756E-006  1.089884527E+002  3.394699220E+001  0.000000000E+000 
 3.000000000E-004  2.688124984E-006  1.100434798E+002  3.511266662E+001  0.000000000E+000 
 3.100000000E-004  3.185624220E-006  1.110969430E+002  3.627784201E+001  0.000000000E+000 
 3.200000000E-004  3.754945577E-006  1.121488272E+002  3.744250182E+001  0.000000000E+000 
 3.300000000E-004  4.403742212E-006  1.131991176E+002  3.860662948E+001  0.000000000E+000 
 3.400000000E-004  5.140214609E-006  1.142477991E+002  3.977020846E+001  0.000000000E+000 
 3.500000000E-004  5.973132085E-006  1.152948569E+002  4.093322221E+001  0.000000000E+000 
 3.600000000E-004  6.911854524E-006  1.163402762E+002  4.209565421E+001  0.000000000E+000 
 3.700000000E-004  7.966354338E-006  1.173840419E+002  4.325748794E+001  0.000000000E+000 
 3.800000000E-004  9.147238638E-006  1.184261394E+002  4.441870689E+001  0.000000000E+000 
 3.900000000E-004  1.046577163E-005  1.194665538E+002  4.557929455E+001  0.000000000E+000 
 4.000000000E-004  1.193389722E-005  1.205052703E+002  4.673923442E+001  0.000000000E+000 
 4.100000000E-004  1.356426183E-005  1.215422742E+002  4.789851003E+001  0.000000000E+000 
 4.200000000E-004  1.537023742E-005  1.225775507E+002  4.905710489E+001  0.000000000E+000 
 4.300000000E-004  1.736594476E-005  1.236110850E+002  5.021500254E+001  0.000000000E+000 
 4.400000000E-004  1.956627679E-005  1.246428626E+002  5.137218653E+001  0.000000000E+000 
 4.500000000E-004  2.198692233E-005  1.256728688E+002  5.252864040E+001  0.000000000E+000 
 4.600000000E-004  2.464438987E-005  1.267010888E+002  5.368434773E+001  0.000000000E+000 
 4.700000000E-004  2.755603160E-005  1.277275082E+002  5.483929208E+001  0.000000000E+000 
 4.800000000E-004  3.074006766E-005  1.287521122E+002  5.599345705E+001  0.000000000E+000 
 4.900000000E-004  3.421561050E-005  1.297748864E+002  5.714682622E+001  0.000000000E+000 
 5.000000000E-004  3.800268953E-005  1.307958162E+002  5.829938321E+001  0.000000000E+000 
 5.100000000E-004  4.212227585E-005  1.318148872E+002  5.945111164E+001  0.000000000E+000 
 5.200000000E-004  4.659630721E-005  1.328320847E+002  6.060199514E+001  0.000000000E+000 
 5.300000000E-004  5.144771321E-005  1.338473944E+002  6.175201734E+001  6.143995509E-003 
 5.400000000E-004  5.670044051E-005  1.348608018E+002  6.290116192E+001  6.143995509E-003 
 5.500000000E-004  6.237947840E-005  1.358722926E+002  6.404941253E+001  6.143995509E-003 
 5.600000000E-004  6.851088440E-005  1.368818523E+002  6.519675285E+001  6.143995509E-003 
 5.700000000E-004  7.512181009E-005  1.378894666E+002  6.634316659E+001  6.143995509E-003 
 5.800000000E-004  8.224052711E-005  1.388951212E+002  6.748863744E+001  6.143995509E-003 
 5.900000000E-004  8.989645327E-005  1.398988018E+002  6.863314913E+001  6.143995509E-003 
 6.000000000E-004  9.812017886E-005  1.409004941E+002  6.977668539E+001  6.143995509E-003 
 6.100000000E-004  1.069434931E-004  1.419001840E+002  7.091922997E+001  6.143995509E-003 
 6.200000000E-004  1.163994108E-004  1.428978571E+002  7.206076663E+001  6.143995509E-003 
 6.300000000E-004  1.265221990E-004  1.438934993E+002  7.320127915E+001  6.143995509E-003 
 6.400000000E-004  1.373474040E-004  1.448870964E+002  7.434075131E+001  6.143995509E-003 
 6.500000000E-004  1.489118782E-004  1.458786344E+002  7.547916693E+001  6.143995509E-003 
 6.600000000E-004  1.612538076E-004  1.468680992E+002  7.661650982E+001  6.143995509E-003 
 6.700000000E-004  1.744127389E-004  1.478554766E+002  7.775276382E+001  6.143995509E-003 
 6.800000000E-004  1.884296069E-004  1.488407526E+002  7.888791279E+001  6.143995509E-003 
 6.900000000E-004  2.033467621E-004  1.498239133E+002  8.002194058E+001  6.143995509E-003 
 7.000000000E-004  2.192079989E-004  1.508049447E+002  8.115483108E+001  6.143995509E-003 
 7.100000000E-004  2.360585825E-004  1.517838328E+002  8.228656819E+001  6.143995509E-003 
 7.200000000E-004  2.539452778E-004  1.527605637E+002  8.341713583E+001  6.143995509E-003 
 7.300000000E-004  2.729163769E-004  1.537351236E+002  8.454651793E+001  6.143995509E-003 
 7.400000000E-004  2.930217275E-004  1.547074985E+002  8.567469843E+001  6.143995509E-003 
 7.500000000E-004  3.143127612E-004  1.556776747E+002  8.680166131E+001  6.143995509E-003 
 7.600000000E-004  3.368425219E-004  1.566456384E+002  8.792739054E+001  6.143995509E-003 
 7.700000000E-004  3.606656943E-004  1.576113758E+002  8.905187013E+001  6.143995509E-003 
 7.800000000E-004  3.858386327E-004  1.585748732E+002  9.017508409E+001  6.143995509E-003 
 7.900000000E-004  4.124193895E-004  1.595361169E+002  9.129701647E+001  3.588430613E-002 
 8.000000000E-004  4.404677442E-004  1.604950932E+002  9.241765132E+001  3.588430613E-002 
 8.100000000E-004  4.700452323E-004  1.614517886E+002  9.353697270E+001  3.588430613E-002 
 8.200000000E-004  5.012151743E-004  1.624061893E+002  9.465496472E+001  3.588430613E-002 
 8.300000000E-004  5.340427048E-004  1.633582819E+002  9.577161148E+001  3.588430613E-002 
 8.400000000E-004  5.685948018E-004  1.643080528E+002  9.688689712E+001  3.588430613E-002 
 8.500000000E-004  6.049403158E-004  1.652554886E+002  9.800080577E+001  3.588430613E-002 
 8.600000000E-004  6.431499994E-004  1.662005757E+002  9.911332162E+001  3.588430613E-002 
 8.700000000E-004  6.832965367E-004  1.671433007E+002  1.002244289E+002  3.588430613E-002 
 8.800000000E-004  7.254545726E-004  1.680836502E+002  1.013341117E+002  3.588430613E-002 
 8.900000000E-004  7.697007426E-004  1.690216109E+002  1.024423543E+002  3.588430613E-002 
 9.000000000E-004  8.161137025E-004  1.699571694E+002  1.035491410E+002  3.588430613E-002 
 9.100000000E-004  8.647741580E-004  1.708903125E+002  1.046544561E+002  3.588430613E-002 
 9.200000000E-004  9.157648946E-004  1.718210268E+002  1.057582837E+002  3.588430613E-002 
 9.300000000E-004  9.691708074E-004  1.727492992E+002  1.068606083E+002  3.588430613E-002 
 9.400000000E-004  1.025078931E-003  1.736751164E+002  1.079614142E+002  3.588430613E-002 
 9.500000000E-004  1.083578469E-003  1.745984653E+002  1.090606857E+002  3.588430613E-002 
 9.600000000E-004  1.144760826E-003  1.755193328E+002  1.101584073E+002  3.588430613E-002 
 9.700000000E-004  1.208719634E-003  1.764377058E+002  1.112545632E+002  3.588430613E-002 
 9.800000000E-004  1.275550787E-003  1.773535711E+002  1.123491379E+002  3.588430613E-002 
 9.900000000E-004  1.345352468E-003  1.782669159E+002  1.134421160E+002  3.588430613E-002 
 1.000000000E-003  1.418225178E-003  1.791777272E+002  1.145334817E+002  3.588430613E-002 
 1.010000000E-003  1.494271771E-003  1.800859919E+002  1.156232197E+002  3.588430613E-002 
 1.020000000E-003  1.573597481E-003  1.809916972E+002  1.167113144E+002  3.588430613E-002 
 1.030000000E-003  1.656309953E-003  1.818948302E+002  1.177977504E+002  3.588430613E-002 
 1.040000000E-003  1.742519271E-003  1.827953781E+002  1.188825122E+002  3.588430613E-002 
 1.050000000E-003  1.832337994E-003  1.836933281E+002  1.199655845E+002  1.158828153E-001 
 1.060000000E-003  1.925881180E-003  1.845886673E+002  1.210469518E+002  1.158828153E-001 
 1.070000000E-003  2.023266421E-003  1.854813832E+002  1.221265987E+002  1.158828153E-001 
 1.080000000E-003  2.124613871E-003  1.863714629E+002  1.232045099E+002  1.158828153E-001 
 1.090000000E-003  2.230046278E-003  1.872588939E+002  1.242806701E+002  1.158828153E-001 
 1.100000000E-003  2.339689012E-003  1.881436636E+002  1.253550641E+002  1.158828153E-001 
 1.110000000E-003  2.453670099E-003  1.890257593E+002  1.264276764E+002  1.158828153E-001 
 1.120000000E-003  2.572120247E-003  1.899051685E+002  1.274984919E+002  1.158828153E-001 
 1.130000000E-003  2.695172883E-003  1.907818788E+002  1.285674954E+002  1.158828153E-001 
 1.140000000E-003  2.822964174E-003  1.916558776E+002  1.296346717E+002  1.158828153E-001 
 1.150000000E-003  2.955633068E-003  1.925271526E+002  1.307000056E+002  1.158828153E-001 
 1.160000000E-003  3.093321316E-003  1.933956913E+002  1.317634819E+002  1.158828153E-001 
 1.170000000E-003  3.236173507E-003  1.942614814E+002  1.328250856E+002  1.158828153E-001 
 1.180000000E-003  3.384337097E-003  1.951245107E+002  1.338848016E+002  1.158828153E-001 
 1.190000000E-003  3.537962439E-003  1.959847668E+002  1.349426147E+002  1.158828153E-001 
 1.200000000E-003  3.697202814E-003  1.968422376E+002  1.359985100E+002  1.158828153E-001 
 1.210000000E-003  3.862214463E-003  1.976969107E+002  1.370524725E+002  1.158828153E-001 
 1.220000000E-003  4.033156613E-003  1.985487742E+002  1.381044871E+002  1.158828153E-001 
 1.230000000E-003  4.210191512E-003  1.993978158E+002  1.391545390E+002  1.158828153E-001 
 1.240000000E-003  4.393484455E-003  2.002440236E+002  1.402026132E+002  1.158828153E-001 
 1.250000000E-003  4.583203820E-003  2.010873854E+002  1.412486948E+002  1.158828153E-001 
 1.260000000E-003  4.779521092E-003  2.019278894E+002  1.422927690E+002  1.158828153E-001 
 1.270000000E-003  4.982610896E-003  2.027655235E+002  1.433348208E+002  1.158828153E-001 
 1.280000000E-003  5.192651028E-003  2.036002759E+002  1.443748356E+002  1.158828153E-001 
 1.290000000E-003  5.409822483E-003  2.044321346E+002  1.454127984E+002  1.158828153E-001 
 1.300000000E-003  5.634309488E-003  2.052610879E+002  1.464486946E+002  1.158828153E-001 
 1.310000000E-003  5.866299528E-003  2.060871240E+002  1.474825095E+002  2.792921416E-001 
 1.320000000E-003  6.105983379E-003  2.069102312E+002  1.485142283E+002  2.792921416E-001 
 1.330000000E-003  6.353555138E-003  2.077303977E+002  1.495438364E+002  2.792921416E-001 
 1.340000000E-003  6.609212250E-003  2.085476119E+002  1.505713191E+002  2.792921416E-001 
 1.350000000E-003  6.873155541E-003  2.093618621E+002  1.515966619E+002  2.792921416E-001 
 1.360000000E-003  7.145589245E-003  2.101731369E+002  1.526198502E+002  2.792921416E-001 
 1.370000000E-003  7.426721037E-003  2.109814246E+002  1.536408694E+002  2.792921416E-001 
 1.380000000E-003  7.716762058E-003  2.117867139E+002  1.546597050E+002  2.792921416E-001 
 1.390000000E-003  8.015926949E-003  2.125889931E+002  1.556763426E+002  2.792921416E-001 
 1.400000000E-003  8.324433878E-003  2.133882511E+002  1.566907677E+002  2.792921416E-001 
 1.410000000E-003  8.642504569E-003  2.141844763E+002  1.577029658E+002  2.792921416E-001 
 1.420000000E-003  8.970364333E-003  2.149776574E+002  1.587129226E+002  2.792921416E-001 
 1.430000000E-003  9.308242095E-003  2.157677833E+002  1.597206238E+002  2.792921416E-001 
 1.440000000E-003  9.656370426E-003  2.165548426E+002  1.607260550E+002  2.792921416E-001 
 1.450000000E-003  1.001498557E-002  2.173388242E+002  1.617292019E+002  2.792921416E-001 
 1.460000000E-003  1.038432747E-002  2.181197169E+002  1.627300503E+002  2.792921416E-001 
 1.470000000E-003  1.076463981E-002  2.188975096E+002  1.637285859E+002  2.792921416E-001 
 1.480000000E-003  1.115617002E-002  2.196721914E+002  1.647247946E+002  2.792921416E-001 
 1.490000000E-003  1.155916932E-002  2.204437511E+002  1.657186622E+002  2.792921416E-001 
 1.500000000E-003  1.197389277E-002  2.212121778E+002  1.667101745E+002  2.792921416E-001 
 1.510000000E-003  1.240059924E-002  2.219774606E+002  1.676993175E+002  2.792921416E-001 
 1.520000000E-003  1.283955151E-002  2.227395886E+002  1.686860772E+002  2.792921416E-001 
 1.530000000E-003  1.329101622E-002  2.234985510E+002  1.696704394E+002  2.792921416E-001 
 1.540000000E-003  1.375526399E-002  2.242543370E+002  1.706523903E+002  2.792921416E-001 
 1.550000000E-003  1.423256935E-002  2.250069358E+002  1.716319158E+002  2.792921416E-001 
 1.560000000E-003  1.472321085E-002  2.257563368E+002  1.726090020E+002  2.792921416E-001 
 1.570000000E-003  1.522747104E-002  2.265025293E+002  1.735836351E+002  5.625474675E-001 
 1.580000000E-003  1.574563651E-002  2.272455027E+002  1.745558012E+002  5.625474675E-001 
 1.590000000E-003  1.627799792E-002  2.279852464E+002  1.755254865E+002  5.625474675E-001 
 1.600000000E-003  1.682485003E-002  2.287217500E+002  1.764926771E+002  5.625474675E-001 
 1.610000000E-003  1.738649173E-002  2.294550029E+002  1.774573594E+002  5.625474675E-001 
 1.620000000E-003  1.796322604E-002  2.301849947E+002  1.784195196E+002  5.625474675E-001 
 1.630000000E-003  1.855536017E-002  2.309117151E+002  1.793791441E+002  5.625474675E-001 
 1.640000000E-003  1.916320554E-002  2.316351537E+002  1.803362192E+002  5.625474675E-001 
 1.650000000E-003  1.978707780E-002  2.323553003E+002  1.812907314E+002  5.625474675E-001 
 1.660000000E-003  2.042729684E-002  2.330721446E+002  1.822426670E+002  5.625474675E-001 
 1.670000000E-003  2.108418685E-002  2.337856765E+002  1.831920125E+002  5.625474675E-001 
 1.680000000E-003  2.175807634E-002  2.344958857E+002  1.841387545E+002  5.625474675E-001 
 1.690000000E-003  2.244929813E-002  2.352027622E+002  1.850828794E+002  5.625474675E-001 
 1.700000000E-003  2.315818942E-002  2.359062960E+002  1.860243739E+002  5.625474675E-001 
 1.710000000E-003  2.388509180E-002  2.366064770E+002  1.869632246E+002  5.625474675E-001 
 1.720000000E-003  2.463035126E-002  2.373032953E+002  1.878994182E+002  5.625474675E-001 
 1.730000000E-003  2.539431824E-002  2.379967410E+002  1.888329412E+002  5.625474675E-001 
 1.740000000E-003  2.617734765E-002  2.386868043E+002  1.897637805E+002  5.625474675E-001 
 1.750000000E-003  2.697979887E-002  2.393734752E+002  1.906919229E+002  5.625474675E-001 
 1.760000000E-003  2.780203582E-002  2.400567442E+002  1.916173551E+002  5.625474675E-001 
 1.770000000E-003  2.864442695E-002  2.407366014E+002  1.925400640E+002  5.625474675E-001 
 1.780000000E-003  2.950734525E-002  2.414130372E+002  1.934600365E+002  5.625474675E-001 
 1.790000000E-003  3.039116835E-002  2.420860420E+002  1.943772595E+002  5.625474675E-001 
 1.800000000E-003  3.129627844E-002  2.427556062E+002  1.952917199E+002  5.625474675E-001 
 1.810000000E-003  3.222306238E-002  2.434217204E+002  1.962034049E+002  5.625474675E-001 
 1.820000000E-003  3.317191169E-002  2.440843749E+002  1.971123013E+002  5.625474675E-001 
 1.830000000E-003  3.414322256E-002  2.447435605E+002  1.980183964E+002  1.001822386E+000 
 1.840000000E-003  3.513739589E-002  2.453992678E+002  1.989216771E+002  1.001822386E+000 
 1.850000000E-003  3.615483734E-002  2.460514873E+002  1.998221308E+002  1.001822386E+000 
 1.860000000E-003  3.719595728E-002  2.467002100E+002  2.007197445E+002  1.001822386E+000 
 1.870000000E-003  3.826117090E-002  2.473454265E+002  2.016145056E+002  1.001822386E+000 
 1.880000000E-003  3.935089817E-002  2.479871276E+002  2.025064012E+002  1.001822386E+000 
 1.890000000E-003  4.046556388E-002  2.486253043E+002  2.033954188E+002  1.001822386E+000 
 1.900000000E-003  4.160559768E-002  2.492599475E+002  2.042815457E+002  1.001822386E+000 
