   Time             Pg                Vg                Vr                Qg              
 1.000000000E-005  0.000000000E+000  7.866322875E+001  1.172918317E+000  0.000000000E+000 
 2.000000000E-005  1.626894333E-012  7.954127042E+001  2.345819965E+000  0.000000000E+000 
 3.000000000E-005  1.466833940E-011  8.041818164E+001  3.518688273E+000  0.000000000E+000 
 4.000000000E-005  6.859054932E-011  8.129394993E+001  4.691506573E+000  0.000000000E+000 
 5.000000000E-005  2.258589613E-010  8.216856286E+001  5.864258197E+000  0.000000000E+000 
 6.000000000E-005  5.954538538E-010  8.304200799E+001  7.036926476E+000  0.000000000E+000 
 7.000000000E-005  1.346576264E-009  8.391427291E+001  8.209494745E+000  0.000000000E+000 
 8.000000000E-005  2.722541076E-009  8.478534522E+001  9.381946338E+000  0.000000000E+000 
 9.000000000E-005  5.054854156E-009  8.565521255E+001  1.055426459E+001  0.000000000E+000 
 1.000000000E-004  8.777470390E-009  8.652386252E+001  1.172643285E+001  0.000000000E+000 
 1.100000000E-004  1.444122951E-008  8.739128280E+001  1.289843445E+001  0.000000000E+000 
 1.200000000E-004  2.272846654E-008  8.825746106E+001  1.407025273E+001  0.000000000E+000 
 1.300000000E-004  3.446779381E-008  8.912238498E+001  1.524187104E+001  0.000000000E+000 
 1.400000000E-004  5.064905126E-008  8.998604227E+001  1.641327273E+001  0.000000000E+000 
 1.500000000E-004  7.243842202E-008  9.084842067E+001  1.758444116E+001  0.000000000E+000 
 1.600000000E-004  1.011937101E-007  9.170950790E+001  1.875535967E+001  0.000000000E+000 
 1.700000000E-004  1.384797771E-007  9.256929175E+001  1.992601162E+001  0.000000000E+000 
 1.800000000E-004  1.860841345E-007  9.342775997E+001  2.109638038E+001  0.000000000E+000 
 1.900000000E-004  2.460326889E-007  9.428490039E+001  2.226644932E+001  0.000000000E+000 
 2.000000000E-004  3.206056367E-007  9.514070080E+001  2.343620180E+001  0.000000000E+000 
 2.100000000E-004  4.123535053E-007  9.599514906E+001  2.460562120E+001  0.000000000E+000 
 2.200000000E-004  5.241133371E-007  9.684823301E+001  2.577469090E+001  0.000000000E+000 
 2.300000000E-004  6.590250143E-007  9.769994053E+001  2.694339428E+001  0.000000000E+000 
 2.400000000E-004  8.205477206E-007  9.855025952E+001  2.811171474E+001  0.000000000E+000 
 2.500000000E-004  1.012476536E-006  9.939917790E+001  2.927963567E+001  0.000000000E+000 
 2.600000000E-004  1.238959163E-006  1.002466836E+002  3.044714047E+001  0.000000000E+000 
 2.700000000E-004  1.504512781E-006  1.010927646E+002  3.161421254E+001  0.000000000E+000 
 2.800000000E-004  1.814041023E-006  1.019374088E+002  3.278083532E+001  0.000000000E+000 
 2.900000000E-004  2.172851076E-006  1.027806042E+002  3.394699220E+001  0.000000000E+000 
 3.000000000E-004  2.586670901E-006  1.036223389E+002  3.511266662E+001  0.000000000E+000 
 3.100000000E-004  3.061666560E-006  1.044626010E+002  3.627784201E+001  0.000000000E+000 
 3.200000000E-004  3.604459666E-006  1.053013783E+002  3.744250182E+001  0.000000000E+000 
 3.300000000E-004  4.222144935E-006  1.061386591E+002  3.860662948E+001  0.000000000E+000 
 3.400000000E-004  4.922307845E-006  1.069744315E+002  3.977020846E+001  0.000000000E+000 
 3.500000000E-004  5.713042397E-006  1.078086835E+002  4.093322221E+001  0.000000000E+000 
 3.600000000E-004  6.602968979E-006  1.086414033E+002  4.209565421E+001  0.000000000E+000 
 3.700000000E-004  7.601252322E-006  1.094725790E+002  4.325748794E+001  0.000000000E+000 
 3.800000000E-004  8.717619550E-006  1.103021989E+002  4.441870689E+001  0.000000000E+000 
 3.900000000E-004  9.962378325E-006  1.111302512E+002  4.557929455E+001  0.000000000E+000 
 4.000000000E-004  1.134643507E-005  1.119567241E+002  4.673923442E+001  0.000000000E+000 
 4.100000000E-004  1.288131330E-005  1.127816058E+002  4.789851003E+001  0.000000000E+000 
 4.200000000E-004  1.457917197E-005  1.136048846E+002  4.905710489E+001  0.000000000E+000 
 4.300000000E-004  1.645282400E-005  1.144265489E+002  5.021500254E+001  0.000000000E+000 
 4.400000000E-004  1.851575479E-005  1.152465869E+002  5.137218653E+001  0.000000000E+000 
 4.500000000E-004  2.078214085E-005  1.160649870E+002  5.252864040E+001  0.000000000E+000 
 4.600000000E-004  2.326686848E-005  1.168817375E+002  5.368434773E+001  0.000000000E+000 
 4.700000000E-004  2.598555251E-005  1.176968269E+002  5.483929208E+001  0.000000000E+000 
 4.800000000E-004  2.895455515E-005  1.185102436E+002  5.599345705E+001  0.000000000E+000 
 4.900000000E-004  3.219100482E-005  1.193219760E+002  5.714682622E+001  0.000000000E+000 
 5.000000000E-004  3.571281511E-005  1.201320126E+002  5.829938321E+001  0.000000000E+000 
 5.100000000E-004  3.953870376E-005  1.209403418E+002  5.945111164E+001  0.000000000E+000 
 5.200000000E-004  4.368821167E-005  1.217469522E+002  6.060199514E+001  0.000000000E+000 
 5.300000000E-004  4.818172203E-005  1.225518322E+002  6.175201734E+001  5.351517678E-003 
