   Time             Pg                Vg                Vr                Qg              
 1.000000000E-005  0.000000000E+000  1.001139098E+000  1.172918317E+000  0.000000000E+000 
 2.000000000E-005 -3.439180804E-017  2.002263968E+000  2.345819965E+000  0.000000000E+000 
 3.000000000E-005 -4.469782738E-016  3.003360382E+000  3.518688273E+000  0.000000000E+000 
 4.000000000E-005 -2.956079644E-015  4.004414111E+000  4.691506573E+000  0.000000000E+000 
 5.000000000E-005 -1.340124412E-014  5.005410928E+000  5.864258197E+000  0.000000000E+000 
 6.000000000E-005 -4.723198772E-014  6.006336607E+000  7.036926476E+000  0.000000000E+000 
 7.000000000E-005 -1.388296913E-013  7.007176923E+000  8.209494745E+000  0.000000000E+000 
 8.000000000E-005 -3.557499111E-013  8.007917652E+000  9.381946338E+000  0.000000000E+000 
 9.000000000E-005 -8.189684244E-013  9.008544570E+000  1.055426459E+001  0.000000000E+000 
 1.000000000E-004 -1.730210312E-012  1.000904346E+001  1.172643285E+001  0.000000000E+000 
 1.100000000E-004 -3.407437287E-012  1.100940009E+001  1.289843445E+001  0.000000000E+000 
 1.200000000E-004 -6.329564339E-012  1.200960026E+001  1.407025273E+001  0.000000000E+000 
 1.300000000E-004 -1.119147251E-011  1.300962975E+001  1.524187104E+001  0.000000000E+000 
 1.400000000E-004 -1.897038034E-011  1.400947434E+001  1.641327273E+001  0.000000000E+000 
 1.500000000E-004 -3.100463225E-011  1.500911982E+001  1.758444116E+001  0.000000000E+000 
 1.600000000E-004 -4.908595745E-011  1.600855199E+001  1.875535967E+001  0.000000000E+000 
 1.700000000E-004 -7.556624872E-011  1.700775665E+001  1.992601162E+001  0.000000000E+000 
 1.800000000E-004 -1.134799057E-010  1.800671958E+001  2.109638038E+001  0.000000000E+000 
 1.900000000E-004 -1.666827828E-010  1.900542660E+001  2.226644932E+001  0.000000000E+000 
 2.000000000E-004 -2.400087766E-010  2.000386352E+001  2.343620180E+001  0.000000000E+000 
 2.100000000E-004 -3.394450843E-010  2.100201613E+001  2.460562120E+001  0.000000000E+000 
 2.200000000E-004 -4.723271575E-010  2.199987026E+001  2.577469090E+001  0.000000000E+000 
 2.300000000E-004 -6.475543734E-010  2.299741172E+001  2.694339428E+001  0.000000000E+000 
 2.400000000E-004 -8.758274384E-010  2.399462633E+001  2.811171474E+001  0.000000000E+000 
 2.500000000E-004 -1.169908535E-009  2.499149993E+001  2.927963567E+001  0.000000000E+000 
 2.600000000E-004 -1.544905218E-009  2.598801835E+001  3.044714047E+001  0.000000000E+000 
 2.700000000E-004 -2.018579061E-009  2.698416742E+001  3.161421254E+001 -2.329218636E-016 
 2.800000000E-004 -2.611680045E-009  2.797993298E+001  3.278083532E+001 -2.329218636E-016 
 2.900000000E-004 -3.348307686E-009  2.897530089E+001  3.394699220E+001 -2.329218636E-016 
 3.000000000E-004 -4.256299878E-009  2.997025699E+001  3.511266662E+001 -2.329218636E-016 
 3.100000000E-004 -5.367650436E-009  3.096478715E+001  3.627784201E+001 -2.329218636E-016 
 3.200000000E-004 -6.718956310E-009  3.195887723E+001  3.744250182E+001 -2.329218636E-016 
 3.300000000E-004 -8.351895443E-009  3.295251311E+001  3.860662948E+001 -2.329218636E-016 
 3.400000000E-004 -1.031373622E-008  3.394568065E+001  3.977020846E+001 -2.329218636E-016 
 3.500000000E-004 -1.265787950E-008  3.493836576E+001  4.093322221E+001 -2.329218636E-016 
 3.600000000E-004 -1.544443413E-008  3.593055431E+001  4.209565421E+001 -2.329218636E-016 
 3.700000000E-004 -1.874082691E-008  3.692223221E+001  4.325748794E+001 -2.329218636E-016 
 3.800000000E-004 -2.262244802E-008  3.791338536E+001  4.441870689E+001 -2.329218636E-016 
 3.900000000E-004 -2.717333268E-008  3.890399968E+001  4.557929455E+001 -2.329218636E-016 
 4.000000000E-004 -3.248688012E-008  3.989406109E+001  4.673923442E+001 -2.329218636E-016 
 4.100000000E-004 -3.866661072E-008  4.088355551E+001  4.789851003E+001 -2.329218636E-016 
 4.200000000E-004 -4.582696224E-008  4.187246889E+001  4.905710489E+001 -2.329218636E-016 
 4.300000000E-004 -5.409412604E-008  4.286078717E+001  5.021500254E+001 -2.329218636E-016 
 4.400000000E-004 -6.360692424E-008  4.384849630E+001  5.137218653E+001 -2.329218636E-016 
 4.500000000E-004 -7.451772860E-008  4.483558225E+001  5.252864040E+001 -2.329218636E-016 
 4.600000000E-004 -8.699342219E-008  4.582203099E+001  5.368434773E+001 -2.329218636E-016 
 4.700000000E-004 -1.012164046E-007  4.680782849E+001  5.483929208E+001 -2.329218636E-016 
 4.800000000E-004 -1.173856414E-007  4.779296075E+001  5.599345705E+001 -2.329218636E-016 
 4.900000000E-004 -1.357177595E-007  4.877741376E+001  5.714682622E+001 -2.329218636E-016 
 5.000000000E-004 -1.564481879E-007  4.976117354E+001  5.829938321E+001 -2.329218636E-016 
 5.100000000E-004 -1.798323461E-007  5.074422611E+001  5.945111164E+001 -2.329218636E-016 
 5.200000000E-004 -2.061468801E-007  5.172655749E+001  6.060199514E+001 -2.329218636E-016 
 5.300000000E-004 -2.356909474E-007  5.270815371E+001  6.175201734E+001 -1.171456595E-004 
 5.400000000E-004 -2.687875510E-007  5.368900084E+001  6.290116192E+001 -1.171456595E-004 
 5.500000000E-004 -3.057849248E-007  5.466908493E+001  6.404941253E+001 -1.171456595E-004 
 5.600000000E-004 -3.470579690E-007  5.564839205E+001  6.519675285E+001 -1.171456595E-004 
 5.700000000E-004 -3.930097389E-007  5.662690828E+001  6.634316659E+001 -1.171456595E-004 
 5.800000000E-004 -4.440729849E-007  5.760461972E+001  6.748863744E+001 -1.171456595E-004 
 5.900000000E-004 -5.007117481E-007  5.858151247E+001  6.863314913E+001 -1.171456595E-004 
 6.000000000E-004 -5.634230085E-007  5.955757265E+001  6.977668539E+001 -1.171456595E-004 
 6.100000000E-004 -6.327383899E-007  6.053278638E+001  7.091922997E+001 -1.171456595E-004 
 6.200000000E-004 -7.092259199E-007  6.150713981E+001  7.206076663E+001 -1.171456595E-004 
 6.300000000E-004 -7.934918468E-007  6.248061908E+001  7.320127915E+001 -1.171456595E-004 
 6.400000000E-004 -8.861825148E-007  6.345321037E+001  7.434075131E+001 -1.171456595E-004 
 6.500000000E-004 -9.879862965E-007  6.442489985E+001  7.547916693E+001 -1.171456595E-004 
 6.600000000E-004 -1.099635585E-006  6.539567370E+001  7.661650982E+001 -1.171456595E-004 
 6.700000000E-004 -1.221908847E-006  6.636551814E+001  7.775276382E+001 -1.171456595E-004 
 6.800000000E-004 -1.355632731E-006  6.733441938E+001  7.888791279E+001 -1.171456595E-004 
 6.900000000E-004 -1.501684248E-006  6.830236365E+001  8.002194058E+001 -1.171456595E-004 
 7.000000000E-004 -1.660993001E-006  6.926933718E+001  8.115483108E+001 -1.171456595E-004 
 7.100000000E-004 -1.834543486E-006  7.023532625E+001  8.228656819E+001 -1.171456595E-004 
 7.200000000E-004 -2.023377453E-006  7.120031712E+001  8.341713583E+001 -1.171456595E-004 
 7.300000000E-004 -2.228596333E-006  7.216429608E+001  8.454651793E+001 -1.171456595E-004 
 7.400000000E-004 -2.451363728E-006  7.312724942E+001  8.567469843E+001 -1.171456595E-004 
 7.500000000E-004 -2.692907968E-006  7.408916346E+001  8.680166131E+001 -1.171456595E-004 
 7.600000000E-004 -2.954524731E-006  7.505002452E+001  8.792739054E+001 -1.171456595E-004 
 7.700000000E-004 -3.237579736E-006  7.600981897E+001  8.905187013E+001 -1.171456595E-004 
 7.800000000E-004 -3.543511495E-006  7.696853314E+001  9.017508409E+001 -1.171456595E-004 
 7.900000000E-004 -3.873834144E-006  7.792615342E+001  9.129701647E+001 -1.178806296E-003 
 8.000000000E-004 -4.230140330E-006  7.888266620E+001  9.241765132E+001 -1.178806296E-003 
 8.100000000E-004 -4.614104179E-006  7.983805788E+001  9.353697270E+001 -1.178806296E-003 
 8.200000000E-004 -5.027484325E-006  8.079231489E+001  9.465496472E+001 -1.178806296E-003 
 8.300000000E-004 -5.472127019E-006  8.174542365E+001  9.577161148E+001 -1.178806296E-003 
 8.400000000E-004 -5.949969298E-006  8.269737064E+001  9.688689712E+001 -1.178806296E-003 
 8.500000000E-004 -6.463042237E-006  8.364814231E+001  9.800080577E+001 -1.178806296E-003 
 8.600000000E-004 -7.013474264E-006  8.459772516E+001  9.911332162E+001 -1.178806296E-003 
 8.700000000E-004 -7.603494556E-006  8.554610568E+001  1.002244289E+002 -1.178806296E-003 
 8.800000000E-004 -8.235436504E-006  8.649327041E+001  1.013341117E+002 -1.178806296E-003 
