   Time             V1N               V2N               V3N             
 1.000000000E-005  3.447213982E-001 -6.894427964E-001  3.447213982E-001 
 2.000000000E-005  1.119103113E+000 -2.238206227E+000  1.119103113E+000 
 3.000000000E-005  2.245656675E+000 -4.421925064E+000  2.176268388E+000 
 4.000000000E-005  2.914389239E+000 -7.065742921E+000  4.151353682E+000 
 5.000000000E-005  3.192623755E+000 -9.892418031E+000  6.699794277E+000 
 6.000000000E-005  3.182817450E+000 -1.267279943E+001  9.489981981E+000 
 7.000000000E-005  2.865585497E+000 -1.550741971E+001  1.264183422E+001 
 8.000000000E-005  2.110188856E+000 -1.856100991E+001  1.645082105E+001 
 9.000000000E-005  1.388458109E+000 -2.203913436E+001  2.065067625E+001 
 1.000000000E-004  1.199090308E+000 -2.610787685E+001  2.490878654E+001 
 1.100000000E-004  1.390392728E+000 -3.058994887E+001  2.919955614E+001 
 1.200000000E-004  1.705553948E+000 -3.486825078E+001  3.316269684E+001 
 1.300000000E-004  2.452006860E+000 -3.970191531E+001  3.724990845E+001 
 1.400000000E-004  3.498496383E+000 -4.488691899E+001  4.138842260E+001 
 1.500000000E-004  4.350006154E+000 -5.027970861E+001  4.592970246E+001 
 1.600000000E-004  4.666023031E+000 -5.560626992E+001  5.094024689E+001 
 1.700000000E-004  4.778328820E+000 -6.055923404E+001  5.578090522E+001 
 1.800000000E-004  4.655651987E+000 -6.518049461E+001  6.052484262E+001 
 1.900000000E-004  4.078146580E+000 -6.982643057E+001  6.574828399E+001 
 2.000000000E-004  3.513876841E+000 -7.465356675E+001  7.113968991E+001 
 2.100000000E-004  3.466493699E+000 -7.987123404E+001  7.640474034E+001 
 2.200000000E-004  3.792112407E+000 -8.542021459E+001  8.162810218E+001 
 2.300000000E-004  4.262232680E+000 -9.053624992E+001  8.627401724E+001 
 2.400000000E-004  5.147588344E+000 -9.603344481E+001  9.088585646E+001 
 2.500000000E-004  6.320653192E+000 -1.017539982E+002  9.543334501E+001 
 2.600000000E-004  7.497792371E+000 -1.075927117E+002  1.000949193E+002 
 2.700000000E-004  8.092424837E+000 -1.132014582E+002  1.051090334E+002 
 2.800000000E-004  8.425352618E+000 -1.183091631E+002  1.098838105E+002 
 2.900000000E-004  8.582381556E+000 -1.228566158E+002  1.142742342E+002 
 3.000000000E-004  8.258409281E+000 -1.273370607E+002  1.190786514E+002 
 3.100000000E-004  7.915922752E+000 -1.318839054E+002  1.239679826E+002 
