   Time             Vo                Vo_             
 9.200000000E-004 -3.271933497E+002 -6.473021801E+001 
 9.300000000E-004  3.278172435E+002 -6.736749394E+001 
 9.400000000E-004  3.278266883E+002 -6.898902032E+001 
 9.500000000E-004  3.278352548E+002 -6.988573167E+001 
 9.600000000E-004  3.278426491E+002 -6.986469057E+001 
 9.700000000E-004 -3.271505824E+002 -6.939941540E+001 
 9.800000000E-004 -3.271429769E+002 -6.955493619E+001 
 9.900000000E-004 -3.271348021E+002 -7.011101346E+001 
 1.000000000E-003 -3.271258697E+002 -7.117276120E+001 
 1.010000000E-003 -3.271161830E+002 -7.269896674E+001 
 1.020000000E-003 -3.271057463E+002 -7.465059732E+001 
 1.030000000E-003 -3.270945655E+002 -7.699071560E+001 
 1.040000000E-003  3.279174349E+002 -7.973642466E+001 
 1.050000000E-003  3.279283791E+002 -8.148842263E+001 
 1.060000000E-003  3.279384171E+002 -8.248801573E+001 
 1.070000000E-003  3.279472454E+002 -8.253482334E+001 
 1.080000000E-003 -3.270446192E+002 -8.208312665E+001 
 1.090000000E-003 -3.270356829E+002 -8.222560014E+001 
 1.100000000E-003 -3.270262055E+002 -8.274906784E+001 
 1.110000000E-003 -3.270160082E+002 -8.375351552E+001 
 1.120000000E-003 -3.270050939E+002 -8.519975083E+001 
 1.130000000E-003 -3.269934668E+002 -8.705065427E+001 
 1.140000000E-003 -3.269811325E+002 -8.927109880E+001 
 1.150000000E-003  3.280322111E+002 -9.209223980E+001 
 1.160000000E-003  3.280446400E+002 -9.396526149E+001 
 1.170000000E-003  3.280561347E+002 -9.505884813E+001 
 1.180000000E-003  3.280663824E+002 -9.516533654E+001 
 1.190000000E-003 -3.269241327E+002 -9.471785177E+001 
 1.200000000E-003 -3.269138834E+002 -9.483831388E+001 
 1.210000000E-003 -3.269031213E+002 -9.532079596E+001 
 1.220000000E-003 -3.268916766E+002 -9.626032298E+001 
 1.230000000E-003 -3.268795521E+002 -9.761968103E+001 
 1.240000000E-003 -3.268667518E+002 -9.936362370E+001 
 1.250000000E-003 -3.268532810E+002 -1.014587958E+002 
 1.260000000E-003 -3.268391458E+002 -1.038736590E+002 
 1.270000000E-003  3.281747888E+002 -1.059104692E+002 
 1.280000000E-003  3.281873980E+002 -1.068678084E+002 
 1.290000000E-003  3.281990448E+002 -1.070779817E+002 
 1.300000000E-003 -3.267901414E+002 -1.066741040E+002 
 1.310000000E-003 -3.267785988E+002 -1.068099236E+002 
 1.320000000E-003 -3.267665700E+002 -1.072876235E+002 
 1.330000000E-003 -3.267538943E+002 -1.081969083E+002 
 1.340000000E-003 -3.267405744E+002 -1.095025861E+002 
 1.350000000E-003 -3.267266143E+002 -1.111713267E+002 
 1.360000000E-003 -3.267120187E+002 -1.131715897E+002 
 1.370000000E-003 -3.266967938E+002 -1.154735541E+002 
 1.380000000E-003  3.283185766E+002 -1.176568541E+002 
 1.390000000E-003  3.283326009E+002 -1.187318237E+002 
 1.400000000E-003  3.283456362E+002 -1.190337221E+002 
 1.410000000E-003 -3.266422351E+002 -1.186603393E+002 
 1.420000000E-003 -3.266294141E+002 -1.187985637E+002 
